age,gender,Mobile Phone risk rating,blue collar or white collar,Doing Sports,education,Vacations,phone price

73,Male,7,0,0,Doctoral degree,5,1

38,Female,10,1,1,High school diploma or equivalent,6,1

33,Female,6,0,1,High school diploma or equivalent,7,0

68,Female,1,0,1,High school diploma or equivalent,0,0

53,Female,7,1,0,Associate degree,7,1

73,Male,8,0,1,"Some college, no degree",3,1

21,Male,7,1,1,"Some college, no degree",2,0

60,Male,6,1,0,Associate degree,1,1

32,Female,6,0,1,High school diploma or equivalent,2,1

76,Female,2,1,0,Doctoral degree,0,0

50,Female,6,1,0,"Some college, no degree",0,1

28,Female,6,1,1,Bachelor’s degree,4,1

53,Female,8,0,1,Less than high school,6,1

32,Female,7,1,1,Less than high school,6,0

34,Female,2,1,0,Associate degree,0,0

48,Female,6,1,1,Less than high school,6,0

63,Male,6,1,1,Doctoral degree,5,0

65,Female,7,1,0,Doctoral degree,6,1

65,Female,2,1,0,High school diploma or equivalent,0,0

60,Female,4,1,0,Doctoral degree,5,0

54,Male,10,1,1,Master’s degree,7,1

51,Male,1,1,1,"Some college, no degree",9,1

38,Female,5,0,1,Master’s degree,9,1

49,Male,3,1,0,High school diploma or equivalent,1,0

73,Male,5,0,0,High school diploma or equivalent,5,0

23,Male,8,1,0,"Some college, no degree",8,1

47,Male,7,1,1,Less than high school,5,0

18,Male,10,0,1,Associate degree,7,1

19,Female,3,1,0,Bachelor’s degree,1,0

50,Female,6,1,0,Bachelor’s degree,5,1

49,Male,3,0,1,Doctoral degree,2,0

65,Male,8,1,1,High school diploma or equivalent,1,1

28,Male,4,0,0,Doctoral degree,0,1

72,Female,7,0,1,High school diploma or equivalent,0,1

42,Male,5,0,1,"Some college, no degree",2,0

18,Male,8,1,1,High school diploma or equivalent,7,1

38,Male,7,0,1,Master’s degree,9,1

37,Male,6,0,1,Master’s degree,5,0

39,Female,4,1,0,Doctoral degree,7,0

63,Female,2,0,0,"Some college, no degree",2,0

69,Female,6,1,1,Doctoral degree,9,0

64,Male,7,1,1,Master’s degree,5,0

61,Female,4,1,0,Doctoral degree,9,0

